char_ngram_range,char_max_features,char_min_df,word_ngram_range,word_max_features,word_min_df,word_max_df,loss,alpha,penalty,max_iter,tol,class_weight,val_macro_f1,val_micro_f1,val_subset_acc,seconds
"(3, 5)",100000,0.0005,"(1, 4)",100000,0.0005,0.4,hinge,0.0001,l2,8000,1e-05,balanced,0.7265221646848602,0.7978112707509973,0.5567374232174792,517.48
"(3, 5)",100000,0.0005,"(1, 4)",100000,0.0005,0.6,hinge,0.0001,l2,8000,1e-05,balanced,0.7246091708174615,0.7970973579107641,0.5547935619314206,496.93
"(3, 5)",100000,0.0005,"(1, 4)",100000,0.0005,0.6,hinge,0.0001,l2,8000,0.0001,balanced,0.7245109504240635,0.7969968636376252,0.554575849467382,448.63
"(3, 5)",100000,0.0001,"(1, 4)",100000,0.0005,0.4,hinge,0.0001,l2,8000,1e-05,balanced,0.7243679255937145,0.7974940847992072,0.5563019982894021,479.82
"(3, 5)",100000,0.0001,"(1, 4)",100000,0.0005,0.4,hinge,0.0001,l2,8000,0.0001,balanced,0.7241498883031089,0.7973746088759697,0.5559909804836327,435.43
"(4, 7)",100000,0.0001,"(1, 4)",100000,0.0001,0.4,hinge,0.0001,l2,8000,1e-05,balanced,0.715001183443445,0.7862892803072264,0.5354327035222767,1399.08
"(4, 7)",100000,0.0001,"(1, 4)",100000,0.0001,0.4,hinge,0.0001,l2,8000,0.0001,balanced,0.7147390417946404,0.7861794767720748,0.534748464349584,883.04
"(4, 7)",100000,0.0005,"(1, 4)",100000,0.0001,0.4,hinge,0.0001,l2,8000,1e-05,balanced,0.7143292137951373,0.7862238917551939,0.5352927455096804,874.55
"(4, 7)",100000,0.0005,"(1, 4)",100000,0.0001,0.4,hinge,0.0001,l2,8000,0.0001,balanced,0.7137700740210385,0.7860678615090074,0.5348884223621803,1198.8
"(4, 7)",100000,0.0001,"(1, 4)",100000,0.0001,0.6,hinge,0.0001,l2,8000,0.0001,balanced,0.7128624360779975,0.7855605385299662,0.533955368944872,561.35
"(4, 7)",100000,0.0001,"(1, 4)",100000,0.0001,0.6,hinge,0.0001,l2,8000,1e-05,balanced,0.7127935797369268,0.7855074602091441,0.533986470725449,625.15
"(4, 7)",100000,0.0005,"(1, 4)",100000,0.0001,0.6,hinge,0.0001,l2,8000,1e-05,balanced,0.7120195293687436,0.7855015536684093,0.5342663867506414,822.89
"(4, 7)",100000,0.0005,"(1, 4)",100000,0.0001,0.6,hinge,0.0001,l2,8000,0.0001,balanced,0.7119373667514225,0.7854355108491805,0.5339242671642952,797.98
"(4, 7)",100000,0.0001,"(1, 4)",100000,0.0005,0.6,hinge,0.0001,l2,8000,1e-05,balanced,0.7119060166648209,0.7849300937609373,0.5334421895653526,1170.77
"(4, 7)",100000,0.0005,"(1, 4)",100000,0.0005,0.6,hinge,0.0001,l2,8000,0.0001,balanced,0.7113292080971458,0.7845490481208612,0.5322447710131405,482.67
"(4, 7)",100000,0.0005,"(1, 4)",100000,0.0005,0.6,hinge,0.0001,l2,8000,1e-05,balanced,0.7113189515805473,0.7847096575187953,0.5328668066246792,543.51
"(4, 7)",100000,0.0005,"(1, 4)",100000,0.0005,0.4,hinge,0.0001,l2,8000,1e-05,balanced,0.7111727250638942,0.7847253875513934,0.5332866806624679,538.59
"(4, 7)",100000,0.0005,"(1, 4)",100000,0.0005,0.4,hinge,0.0001,l2,8000,0.0001,balanced,0.7109937960629035,0.7845987434121194,0.532991213746987,481.28
"(4, 7)",100000,0.0001,"(1, 4)",100000,0.0005,0.6,hinge,0.0001,l2,8000,0.0001,balanced,0.7106029089604178,0.7842194310094341,0.53123396314439,577.1
"(4, 7)",100000,0.0001,"(1, 4)",100000,0.0005,0.4,hinge,0.0001,l2,8000,1e-05,balanced,0.7105801982871901,0.7844882741478907,0.5325402379286214,628.48
"(4, 7)",100000,0.0001,"(1, 4)",100000,0.0005,0.4,hinge,0.0001,l2,8000,0.0001,balanced,0.7103175934993072,0.7843575624588859,0.531731591633621,779.07
"(3, 5)",100000,0.0001,"(1, 4)",100000,0.0005,0.6,modified_huber,0.001,l2,8000,0.0001,balanced,0.684556704261006,0.75995788655578,0.4989658657958168,430.47
"(3, 5)",100000,0.0001,"(1, 4)",100000,0.0005,0.4,modified_huber,0.001,l2,8000,0.0001,balanced,0.684549997074968,0.7599701742097296,0.498872560454086,436.05
"(3, 5)",100000,0.0001,"(1, 4)",100000,0.0005,0.4,modified_huber,0.001,l2,8000,1e-05,balanced,0.6845263706142265,0.759730319218594,0.49804836326879715,461.94
"(3, 5)",100000,0.0001,"(1, 4)",100000,0.0005,0.6,modified_huber,0.001,l2,8000,1e-05,balanced,0.6844372940124992,0.7596400854187642,0.497877303475624,449.97
"(3, 5)",100000,0.0005,"(1, 4)",100000,0.0005,0.4,modified_huber,0.001,l2,8000,0.0001,balanced,0.6843735748634444,0.7598948167425721,0.4990436202472592,443.14
"(3, 5)",100000,0.0005,"(1, 4)",100000,0.0005,0.4,modified_huber,0.001,l2,8000,1e-05,balanced,0.6843048304890181,0.7595799624386016,0.49811056682995103,460.35
"(3, 5)",100000,0.0005,"(1, 4)",100000,0.0005,0.6,modified_huber,0.001,l2,8000,0.0001,balanced,0.6842565668828033,0.7598435156574691,0.4988103568929321,436.09
"(3, 5)",100000,0.0005,"(1, 4)",100000,0.0005,0.6,modified_huber,0.001,l2,8000,1e-05,balanced,0.6841806407910337,0.759540175931902,0.4976284892310085,451.64
"(3, 5)",100000,0.0001,"(1, 4)",100000,0.0001,0.4,modified_huber,0.001,l2,8000,0.0001,balanced,0.683880550558367,0.7605086365839626,0.4990280693569707,433.23
"(3, 5)",100000,0.0005,"(1, 4)",100000,0.0001,0.4,modified_huber,0.001,l2,8000,0.0001,balanced,0.6838428673621387,0.7605109389862753,0.49929243449187466,434.5
"(3, 5)",100000,0.0001,"(1, 4)",100000,0.0001,0.6,modified_huber,0.001,l2,8000,0.0001,balanced,0.683763434761794,0.7604745946925098,0.49874815333177824,430.62
"(3, 5)",100000,0.0005,"(1, 4)",100000,0.0001,0.4,modified_huber,0.001,l2,8000,1e-05,balanced,0.683703217628013,0.7603233143343875,0.49954124873649014,454.31
"(3, 5)",100000,0.0001,"(1, 4)",100000,0.0001,0.4,modified_huber,0.001,l2,8000,1e-05,balanced,0.683690257520778,0.760331702011963,0.4991680273695669,453.85
"(3, 5)",100000,0.0005,"(1, 4)",100000,0.0001,0.6,modified_huber,0.001,l2,8000,0.0001,balanced,0.6836878441499588,0.7605283056457346,0.4990125184666822,430.79
"(3, 5)",100000,0.0001,"(1, 4)",100000,0.0001,0.6,modified_huber,0.001,l2,8000,1e-05,balanced,0.6836532364801023,0.7603743838793853,0.4990125184666822,454.73
"(3, 5)",100000,0.0005,"(1, 4)",100000,0.0001,0.6,modified_huber,0.001,l2,8000,1e-05,balanced,0.6836212102743061,0.7603400870601131,0.4991835782598554,452.16
"(4, 7)",100000,0.0001,"(1, 4)",100000,0.0005,0.4,modified_huber,0.001,l2,8000,0.0001,balanced,0.6735486608917163,0.7500853410948813,0.4809579348417697,537.96
"(4, 7)",100000,0.0001,"(1, 4)",100000,0.0005,0.4,modified_huber,0.001,l2,8000,1e-05,balanced,0.6734626589052287,0.7500842442949763,0.4813467070989814,549.55
